ef,recall,Cal
1.0,0.446,569.8005698005697
2.0,0.634,277.4694783573807
3.0,0.7,208.89910173386255
4.0,0.7779999999999998,163.8001638001638
5.0,0.816,138.73473917869035
6.0,0.8240000000000001,124.23903590508138
7.0,0.856,108.37758751490192
8.0,0.8819999999999999,99.35419771485344
9.0,0.898,91.53318077803203
10.0,0.9039999999999999,86.10297916307904
11.0,0.9119999999999999,80.32773716764399
12.0,0.92,75.642965204236
13.0,0.9259999999999999,71.44388083160678
14.0,0.9259999999999999,67.97172376291462
15.0,0.93,64.90134994807892
16.0,0.9319999999999999,61.923338906433834
17.0,0.9359999999999999,59.39653124257543
18.0,0.94,56.87635081333182
19.0,0.948,54.57621568520439
20.0,0.948,52.69814502529511
21.0,0.948,50.75884472869398
22.0,0.95,49.07734589713389
23.0,0.954,47.2768532526475
24.0,0.964,45.65167769915544
25.0,0.964,44.332136365651465
26.0,0.9660000000000001,42.96640027498496
27.0,0.968,41.78156597309267
28.0,0.968,40.49238743116294
29.0,0.968,39.36852879807882
30.0,0.968,38.378876266502914
31.0,0.968,37.38317757009346
32.0,0.97,36.36628118408611
33.0,0.97,35.57452863749555
34.0,0.97,34.76205374213508
35.0,0.97,34.082001295116044
36.0,0.97,33.4001336005344
37.0,0.97,32.71930111572817
38.0,0.97,32.0666987333654
39.0,0.9739999999999999,31.389289974260784
40.0,0.9739999999999999,30.765444253015012
41.0,0.9739999999999999,30.287427688766392
42.0,0.9739999999999999,29.767220336964936
43.0,0.9739999999999999,29.238056254020233
44.0,0.9739999999999999,28.79272120008062
45.0,0.976,28.33423058396849
46.0,0.976,27.817959274507622
47.0,0.976,27.402515550927575
48.0,0.976,26.930949046644404
49.0,0.976,26.518164942985944
50.0,0.976,26.08514190317195
51.0,0.976,25.714212245107873
52.0,0.976,25.373626652457435
53.0,0.976,24.982512241431
54.0,0.976,24.60569375753549
55.0,0.976,24.296613052140533
56.0,0.976,23.94693359515314
57.0,0.976,23.641220832643796
58.0,0.976,23.325791327470785
59.0,0.976,23.000667019343563
60.0,0.976,22.70250635670178
61.0,0.976,22.469890346935106
62.0,0.976,22.19361711571752
63.0,0.976,21.933672574135812
64.0,0.976,21.668472372697725
65.0,0.976,21.416945086952797
66.0,0.976,21.170742034508308
67.0,0.976,20.963481615026623
68.0,0.976,20.74043347505963
69.0,0.976,20.512399745646242
70.0,0.976,20.28809089064719
71.0,0.976,20.07628990162618
72.0,0.976,19.860578737264404
73.0,0.976,19.647909462433198
74.0,0.976,19.419738221928768
75.0,0.976,19.22152811148486
76.0,0.976,19.061052551321882
77.0,0.976,18.860807242549978
78.0,0.976,18.70767388782879
79.0,0.976,18.54358670053962
80.0,0.976,18.37323387289397
81.0,0.976,18.199355742806702
82.0,0.976,18.042399639152006
83.0,0.976,17.879811904378766
84.0,0.978,17.713850459674422
85.0,0.978,17.574383578495983
86.0,0.978,17.45413924912293
87.0,0.978,17.29056799515864
88.0,0.978,17.147364450084023
89.0,0.978,16.985138004246284
90.0,0.978,16.848631891090445
91.0,0.978,16.718214494691967
92.0,0.978,16.591176812171287
93.0,0.978,16.466055227149234
94.0,0.978,16.34921932477724
95.0,0.978,16.206404771165566
96.0,0.978,16.075878144843664
97.0,0.978,15.971379288315338
98.0,0.978,15.82453752789075
99.0,0.978,15.716845314808412
100.0,0.978,15.597217456405778
